age,hasGraduateDegree,greaterThan50k
51,False,False
33,False,True
46,False,True
77,False,False
39,True,True
67,False,False
35,False,False
23,False,False
37,False,True
41,False,True
60,False,True
32,False,False
56,False,False
45,False,False
24,False,True
18,False,False
31,False,False
21,False,False
45,False,True
23,False,False
45,False,False
18,False,False
25,False,False
31,False,False
19,False,False
41,False,True
74,False,False
23,False,False
31,False,True
40,False,False
41,False,True
25,True,False
42,False,False
24,False,False
42,False,True
45,False,False
52,False,True
34,False,False
32,False,False
54,False,False
42,False,False
32,False,True
40,False,False
55,False,True
66,False,False
52,True,False
21,False,False
33,False,True
52,False,True
27,False,False
42,False,False
27,False,False
47,False,True
19,False,False
46,False,False
32,False,False
28,False,False
23,False,False
43,True,False
37,False,False
18,False,False
31,False,False
49,False,False
48,False,True
39,False,False
41,False,False
48,False,True
40,False,True
70,False,True
20,False,False
49,False,True
51,False,True
43,False,False
38,False,False
18,False,False
34,False,False
62,False,False
33,False,False
31,False,False
64,False,False
55,False,False
61,False,False
37,False,True
78,False,False
27,False,False
49,False,False
55,True,True
42,False,False
22,False,False
61,False,False
64,False,False
46,False,False
24,False,False
27,False,False
47,False,True
18,False,False
48,False,False
50,False,False
40,True,False
56,False,False
34,False,False
56,False,False
18,False,False
21,False,False
40,False,False
27,False,False
52,False,True
46,False,False
23,False,False
50,False,True
19,False,False
20,False,False
39,False,True
24,False,False
72,False,False
42,True,True
51,False,False
39,False,True
40,False,False
34,False,True
26,False,False
45,False,True
28,True,True
30,False,True
32,False,False
19,False,False
21,False,False
54,False,False
62,False,True
25,False,False
49,False,False
32,False,True
37,False,True
58,False,False
37,False,True
41,False,False
38,False,True
47,False,False
42,False,False
30,False,False
43,False,True
34,False,False
57,False,False
46,False,False
32,False,False
47,False,False
55,False,False
43,False,True
80,False,False
43,True,True
22,False,False
40,False,False
48,False,True
56,False,False
34,False,False
51,False,True
24,False,False
19,False,False
34,False,False
24,False,False
24,False,False
22,False,False
32,False,False
41,False,False
20,False,False
31,False,False
55,False,True
26,False,False
27,False,False
35,False,False
59,False,False
61,False,True
31,False,False
43,True,True
61,False,False
54,False,False
30,False,False
20,False,False
44,False,False
55,False,False
34,False,False
61,False,False
34,False,False
47,False,True
26,False,False
35,False,False
36,False,False
47,False,True
17,False,False
35,False,False
33,True,False
25,False,False
18,False,False
47,True,False
44,False,False
41,False,False
30,False,False
53,False,False
53,False,False
40,False,False
24,False,False
27,False,False
36,False,False
41,True,False
31,False,False
32,False,False
22,False,False
22,False,False
18,False,False
39,False,False
38,False,False
35,False,False
23,False,False
54,False,True
36,True,True
63,False,False
39,False,False
57,False,True
58,False,True
17,False,False
40,False,False
69,False,False
28,False,False
38,False,False
44,False,True
45,False,False
33,False,False
41,False,True
37,False,True
50,False,True
48,False,False
26,False,False
36,False,True
21,False,False
37,False,False
20,False,False
54,False,False
28,False,False
27,False,False
33,False,False
46,False,False
17,False,False
40,False,True
47,True,True
25,False,False
35,False,False
29,False,False
30,False,False
30,False,False
56,False,False
25,False,False
28,False,False
43,False,False
47,False,True
46,False,False
41,True,False
38,False,True
29,False,False
56,False,False
31,False,False
22,False,False
31,False,False
28,False,False
53,False,False
45,True,True
71,False,False
65,False,False
39,False,True
19,False,False
34,False,False
36,False,False
40,False,False
56,False,False
21,False,False
48,False,True
45,False,False
46,False,True
64,False,False
67,False,True
43,False,False
42,False,False
31,False,False
53,False,False
81,False,False
33,False,False
17,False,False
28,False,False
24,False,False
40,False,False
30,True,False
24,False,False
26,True,False
38,False,False
30,False,True
33,False,False
40,False,True
63,False,False
23,False,False
56,False,False
42,False,False
49,False,True
52,False,False
28,False,False
35,False,False
21,False,False
43,False,False
32,False,False
23,False,False
50,False,False
34,False,False
19,False,False
47,False,False
37,False,False
25,False,False
75,False,True
24,False,False
28,False,False
17,False,False
31,False,False
18,False,False
45,False,True
31,False,False
27,False,True
48,False,False
22,False,False
34,False,False
26,False,False
53,False,False
60,False,True
49,True,False
40,False,False
48,False,False
23,False,False
68,False,False
42,False,True
37,False,False
27,False,False
38,False,True
75,False,False
49,False,True
27,False,False
36,False,True
35,False,False
36,False,True
53,False,False
27,False,False
34,False,False
61,False,True
29,False,False
40,False,False
37,True,True
22,False,False
43,False,False
55,False,False
28,False,False
23,False,False
64,False,True
46,False,False
29,False,False
20,False,False
62,False,False
29,False,False
39,False,False
39,False,False
37,False,False
72,False,False
31,False,False
55,False,False
38,False,False
33,False,False
25,False,False
19,False,False
37,False,False
49,False,False
26,False,False
35,False,False
44,False,False
37,True,True
42,False,True
64,False,True
28,False,True
35,False,False
40,False,False
55,False,True
21,False,False
49,False,False
51,False,True
51,False,True
24,False,False
28,False,False
42,False,True
22,False,False
28,True,False
60,False,False
31,False,False
47,False,True
40,False,False
30,False,False
61,True,True
71,False,False
42,False,False
44,False,False
46,False,True
50,False,True
27,False,False
40,False,False
25,False,False
61,False,False
54,False,False
31,False,False
53,False,False
39,False,True
57,False,True
48,False,False
30,False,True
35,False,False
42,False,False
34,False,False
59,False,True
69,False,False
29,False,False
40,False,False
21,False,False
40,False,False
43,False,False
36,False,False
72,False,False
20,False,False
41,False,False
34,False,False
48,False,False
27,False,False
35,False,True
28,False,False
27,False,False
20,False,False
18,False,False
32,False,False
38,True,True
23,False,False
28,False,True
40,False,True
35,False,False
74,False,False
28,False,False
23,False,False
20,False,False
44,False,False
46,False,False
20,False,False
51,False,True
40,False,False
48,False,True
60,False,False
48,False,True
46,False,False
48,False,True
22,False,False
24,False,False
45,False,False
18,False,False
39,False,False
65,False,False
22,False,False
20,False,False
28,False,False
46,False,True
42,False,True
28,False,True
18,False,False
24,False,False
45,False,True
24,False,False
44,False,True
20,False,False
52,False,False
25,False,False
35,False,False
54,False,False
21,False,False
26,False,True
42,False,False
19,False,False
55,True,True
44,False,False
25,False,False
26,False,False
64,False,True
41,False,False
43,False,False
45,False,True
48,False,True
60,False,False
45,False,False
51,False,True
37,False,False
22,False,False
44,False,True
27,False,False
47,False,False
32,True,True
40,False,True
41,False,False
32,False,False
26,False,False
47,False,False
55,False,False
38,False,False
24,False,False
64,False,True
56,False,True
41,False,True
33,False,True
33,False,True
21,False,False
59,False,False
43,True,False
21,False,False
45,False,False
53,False,True
38,True,True
31,False,True
41,False,False
22,False,False
43,True,False
41,False,False
27,False,False
41,False,False
36,False,True
49,False,True
20,False,False
58,False,False
30,False,True
21,False,False
29,False,False
40,False,False
54,False,True
35,False,True
35,False,False
59,False,False
43,False,False
39,False,True
51,False,False
71,False,False
33,False,False
28,False,False
30,False,False
51,False,False
39,False,True
62,False,True
39,False,False
50,False,True
31,False,False
45,False,True
23,False,False
47,False,False
59,False,False
32,False,False
82,False,False
49,False,True
74,False,False
22,False,False
34,False,True
59,False,True
36,False,True
59,False,False
47,False,True
53,False,False
25,False,False
44,False,False
57,False,True
42,False,True
58,False,False
39,False,False
32,False,False
45,False,False
47,False,True
52,False,False
52,False,False
34,False,False
36,False,False
34,False,False
41,False,False
29,False,False
42,False,False
48,False,True
26,False,False
46,False,False
38,False,True
49,False,False
23,False,False
46,False,True
30,False,False
49,False,True
47,False,False
31,False,False
19,False,False
45,False,False
26,False,False
38,False,True
31,False,False
36,False,False
31,False,True
30,False,False
37,False,True
30,False,True
21,False,False
73,False,False
38,True,True
30,False,False
33,False,True
52,False,True
58,False,False
34,True,False
35,False,False
59,False,True
45,False,False
27,False,False
45,False,False
40,False,False
27,False,False
19,False,False
34,False,False
32,False,False
33,False,True
74,False,False
62,False,True
39,False,False
43,False,False
22,False,False
24,False,False
25,False,False
19,False,False
31,False,False
53,False,False
61,False,False
37,False,False
50,False,False
27,False,False
58,False,False
43,False,False
39,False,False
36,False,False
56,False,False
26,False,False
23,False,False
47,False,False
68,False,False
47,False,False
26,False,False
20,False,False
46,False,False
37,False,True
37,False,False
43,False,False
59,True,False
39,False,False
32,False,False
63,False,False
45,False,True
59,False,False
36,False,False
26,False,False
34,False,False
41,False,True
26,False,False
53,False,False
33,False,True
46,False,True
79,False,False
31,False,False
24,False,False
57,False,False
40,False,False
20,False,False
45,False,False
27,False,False
36,False,True
30,False,False
31,False,False
49,False,True
26,False,False
25,False,False
29,False,False
41,False,True
35,True,True
57,False,True
29,False,False
36,False,False
20,False,False
51,False,True
39,False,False
36,False,False
40,False,True
61,False,False
38,False,False
20,False,False
21,False,False
40,False,False
46,False,False
21,False,False
35,False,False
39,False,False
38,False,False
30,False,False
32,False,True
46,False,True
40,False,False
47,False,True
44,False,False
51,False,True
46,False,True
20,False,False
44,False,False
33,False,False
18,False,False
61,False,True
50,False,False
47,False,False
34,False,True
53,False,False
39,False,False
58,False,True
66,False,False
26,False,False
47,False,False
31,False,False
52,False,True
29,False,True
43,False,False
42,True,True
35,False,False
41,False,False
34,False,True
